Event Number,Combined Time,Begin: End time,SiteCode,Method,QC_status
B1,Begin time,2020-06-30 16:10:00,LR_MainStreet_BA,"Site Visit, Stage Reading",1
N1,End time,2020-06-30 16:20:00,LR_MainStreet_BA,"Site Visit, Stage Reading",1
B2,Begin time,2020-07-02 14:20:00,LR_MainStreet_BA,"Site Visit, Change Desiccant, Check color desiccant, Precipitate Removal - Injection, Equipment Cleaning, EXO pH Calibration, EXO Specific Conductance Calibration, General Field Note, Minimum Stage Reading, Stage Reading",1
B3,Begin time,2020-07-02 14:50:00,LR_MainStreet_BA,Stage Reading,1
B4,Begin time,2020-07-02 15:10:00,LR_MainStreet_BA,Stage Reading,1
N3,End time,2020-07-02 15:10:00,LR_MainStreet_BA,Stage Reading,1
N4,End time,2020-07-02 15:20:00,LR_MainStreet_BA,Stage Reading,1
N2,End time,2020-07-02 15:20:00,LR_MainStreet_BA,"Site Visit, Change Desiccant, Check color desiccant, Precipitate Removal - Injection, Equipment Cleaning, EXO pH Calibration, EXO Specific Conductance Calibration, General Field Note, Minimum Stage Reading, Stage Reading",1
B5,Begin time,2020-07-09 18:40:00,LR_MainStreet_BA,"Site Visit, general Field Note, Stage Reading",1
B6,Begin time,2020-07-09 18:50:00,LR_MainStreet_BA,Stage Reading,1
N6,End time,2020-07-09 19:10:00,LR_MainStreet_BA,Stage Reading,1
N5,End time,2020-07-09 19:10:00,LR_MainStreet_BA,"Site Visit, general Field Note, Stage Reading",1
B7,Begin time,2020-07-31 10:10:00,LR_MainStreet_BA,"Site Visit, Site clean-up",1
B8,Begin time,2020-07-31 10:40:00,LR_MainStreet_BA,"Stage Reading, Benchmark, Survey Water Surface Elevation",1
N8,End time,2020-07-31 10:50:00,LR_MainStreet_BA,"Stage Reading, Benchmark, Survey Water Surface Elevation",1
B9,Begin time,2020-07-31 11:20:00,LR_MainStreet_BA,"Flowtracker Discharge, Stage Reading",1
B10,Begin time,2020-07-31 12:10:00,LR_MainStreet_BA,Stage Reading,1
B11,Begin time,2020-07-31 12:20:00,LR_MainStreet_BA,Stage Reading,1
N10,End time,2020-07-31 12:20:00,LR_MainStreet_BA,Stage Reading,1
N11,End time,2020-07-31 12:40:00,LR_MainStreet_BA,Stage Reading,1
B12,Begin time,2020-07-31 12:50:00,LR_MainStreet_BA,"Stage Reading, Precipitate Removal - Injection, General Sonde Calibration",1
N9,End time,2020-07-31 12:50:00,LR_MainStreet_BA,"Flowtracker Discharge, Stage Reading",1
